Comment, Designator, Footprint, LCSC Part #(optional)
B10S, B1, MBS, C2487
100u 50V, C1, 153CLV-1010, C134808
100u 50V, C2, 153CLV-1010, C134808
0.1u, C3, C0603, C14663
0.1u, C4, C0603, C14663
0.1u, C5, C0603, C14663
0.1u, C6, C0603, C14663
MBRS140, D1, DIO_MBRS140, C133091
MBRS140, D2, DIO_MBRS140, C133091
MBRS140, D3, DIO_MBRS140, C133091
MBRS140, D4, DIO_MBRS140, C133091
GREEN, LED1, CHIP-LED0603, C72043
GREEN, LED2, CHIP-LED0603, C72043
AS358AMTR-E1, OP1, SOIC-8, C141322
AS358AMTR-E1, OP2, SOIC-8, C141322
AS358AMTR-E1, OP3, SOIC-8, C141322
AS358AMTR-E1, OP4, SOIC-8, C141322
AS358AMTR-E1, OP5, SOIC-8, C141322
DMP4065S, Q1, SOT23, C182476
DMP4065S, Q2, SOT23, C182476
DMP4065S, Q3, SOT23, C182476
DMP4065S, Q4, SOT23, C182476
DMP4065S, Q5, SOT23, C182476
DMP4065S, Q6, SOT23, C182476
DMP4065S, Q7, SOT23, C182476
DMP4065S, Q8, SOT23, C182476
DMP4065S, Q9, SOT23, C182476
DMP4065S, Q10, SOT23, C182476
DMP4065S, Q11, SOT23, C182476
DMP4065S, Q12, SOT23, C182476
DMP4065S, Q13, SOT23, C182476
DMP4065S, Q14, SOT23, C182476
DMP4065S, Q15, SOT23, C182476
DMP4065S, Q16, SOT23, C182476
DMP4065S, Q17, SOT23, C182476
DMP4065S, Q18, SOT23, C182476
DMP4065S, Q19, SOT23, C182476
DMP4065S, Q20, SOT23, C182476
DMP4065S, Q21, SOT23, C182476
DMP4065S, Q22, SOT23, C182476
DMP4065S, Q23, SOT23, C182476
DMP4065S, Q24, SOT23, C182476
DMP4065S, Q25, SOT23, C182476
DMP4065S, Q26, SOT23, C182476
DMP4065S, Q27, SOT23, C182476
DMP4065S, Q28, SOT23, C182476
DMP4065S, Q29, SOT23, C182476
DMP4065S, Q30, SOT23, C182476
DMP4065S, Q31, SOT23, C182476
DMP4065S, Q32, SOT23, C182476
DMP4065S, Q33, SOT23, C182476
DMP4065S, Q34, SOT23, C182476
DMP4065S, Q35, SOT23, C182476
DMP4065S, Q36, SOT23, C182476
DMP4065S, Q37, SOT23, C182476
DMP4065S, Q38, SOT23, C182476
DMP4065S, Q39, SOT23, C182476
DMP4065S, Q40, SOT23, C182476
1K, R1, R1206, C95218
1K, R2, R1206, C95218
1K, R3, R1206, C95218
1K, R4, R1206, C95218
1K, R5, R1206, C95218
1K, R6, R1206, C95218
1K, R7, R1206, C95218
1K, R8, R1206, C95218
1K, R9, R1206, C95218
1K, R10, R1206, C95218
1K, R11, R1206, C95218
750 1/2W, R12, R1206,  C4410
750 1/2W, R13, R1206,  C4410
750 1/2W, R14, R1206,  C4410
750 1/2W, R15, R1206,  C4410
MC79M12CDTRKG, VREG1, DPAK-3, C67852
MC78M12CDTRKG, VREG2, DPAK-3, C67851
