Designator, Mid X, Mid Y, Layer, Rotation
B1, 60.96mm, 68.58mm, Top,  90
C1, 91.44mm, 42.16mm, Top,   0
C2, 75.69mm, 42.16mm, Top,   0
C3, 87.63mm, 34.04mm, Top,  90
C4, 87.63mm, 29.97mm, Top,  90
C5, 71.63mm, 33.78mm, Top,  90
C6, 71.63mm, 29.72mm, Top,  90
D1, 91.44mm, 60.96mm, Top,   0
D2, 75.69mm, 60.96mm, Top,   0
D3, 75.69mm, 53.09mm, Top,   0
D4, 91.44mm, 53.09mm, Top,   0
LED1, 90.93mm, 26.42mm, Top,   0
LED2, 77.47mm, 26.16mm, Top,   0
OP1, 120.65mm, 71.02mm, Top,   0
OP2, 120.65mm, 63.40mm, Top,   0
OP3, 120.65mm, 55.78mm, Top,   0
OP4, 120.65mm, 48.16mm, Top,   0
OP5, 120.65mm, 40.54mm, Top,   0
Q1, 101.35mm, 75.69mm, Top,   0
Q2, 101.35mm, 70.61mm, Top,   0
Q3, 101.35mm, 65.53mm, Top,   0
Q4, 101.35mm, 60.45mm, Top,   0
Q5, 101.35mm, 55.37mm, Top,   0
Q6, 101.35mm, 50.29mm, Top,   0
Q7, 101.35mm, 45.21mm, Top,   0
Q8, 101.35mm, 40.13mm, Top,   0
Q9, 101.35mm, 35.05mm, Top,   0
Q10, 101.35mm, 29.97mm, Top,   0
Q11, 106.43mm, 75.69mm, Top,   0
Q12, 106.43mm, 70.61mm, Top,   0
Q13, 106.43mm, 65.53mm, Top,   0
Q14, 106.43mm, 60.45mm, Top,   0
Q15, 106.43mm, 55.37mm, Top,   0
Q16, 106.43mm, 50.29mm, Top,   0
Q17, 106.43mm, 45.21mm, Top,   0
Q18, 106.43mm, 40.13mm, Top,   0
Q19, 106.43mm, 35.05mm, Top,   0
Q20, 106.43mm, 29.97mm, Top,   0
Q21, 133.35mm, 75.18mm, Top,   0
Q22, 133.35mm, 70.10mm, Top,   0
Q23, 133.35mm, 65.02mm, Top,   0
Q24, 133.35mm, 59.94mm, Top,   0
Q25, 133.35mm, 54.86mm, Top,   0
Q26, 133.35mm, 49.78mm, Top,   0
Q27, 133.35mm, 44.70mm, Top,   0
Q28, 133.35mm, 39.62mm, Top,   0
Q29, 133.35mm, 34.54mm, Top,   0
Q30, 133.35mm, 29.46mm, Top,   0
Q31, 138.43mm, 75.18mm, Top,   0
Q32, 138.43mm, 70.10mm, Top,   0
Q33, 138.43mm, 65.02mm, Top,   0
Q34, 138.43mm, 59.94mm, Top,   0
Q35, 138.43mm, 54.86mm, Top,   0
Q36, 138.43mm, 49.78mm, Top,   0
Q37, 138.43mm, 44.70mm, Top,   0
Q38, 138.43mm, 39.62mm, Top,   0
Q39, 138.43mm, 34.54mm, Top,   0
Q40, 138.43mm, 29.46mm, Top,   0
R1, 113.03mm, 71.12mm, Top,  90
R2, 128.27mm, 71.12mm, Top,  90
R3, 113.03mm, 63.50mm, Top,  90
R4, 128.27mm, 63.50mm, Top,  90
R5, 113.03mm, 55.88mm, Top,  90
R6, 128.27mm, 55.88mm, Top,  90
R7, 113.03mm, 48.26mm, Top,  90
R8, 128.27mm, 48.26mm, Top,  90
R9, 113.03mm, 40.64mm, Top,  90
R10, 128.27mm, 40.64mm, Top,  90
R11, 120.65mm, 33.02mm, Top, 180
R12, 90.93mm, 33.02mm, Top, 270
R13, 74.93mm, 32.77mm, Top, 270
R14, 78.74mm, 33.02mm, Top, 270
R15, 94.74mm, 33.02mm, Top, 270
VREG1, 75.69mm, 70.45mm, Top,   0
VREG2, 91.44mm, 70.45mm, Top,   0
